S0, MC, AT, Avg, Diff
68.75, 0.13832341301733164, 0.13813798235563024, 0.13823069768648094, 0.00018543066170140232
122.5, 2.9033389427766965, 2.903624940707814, 2.903481941742255, 0.00028599793111760974
97.25, 3.2479239272232863, 3.2467218024054247, 3.2473228648143557, 0.0012021248178615274
87.75, 1.7286288133717282, 1.7284043869268149, 1.7285166001492716, 0.0002244264449133837
83, 1.098885347160501, 1.0995087628040667, 1.0991970549822838, 0.0006234156435658278
98.5, 3.441720969208652, 3.441022990365408, 3.4413719797870304, 0.0006979788432439626
94.5, 2.8026281916704145, 2.80158716540982, 2.8021076785401173, 0.0010410262605944354
125.5, 1.9237738825851936, 1.9232956833687511, 1.9235347829769722, 0.000478199216442432
95.25, 2.9240462459011285, 2.9245476384733577, 2.924296942187243, 0.0005013925722292534
87.5, 1.692384416441183, 1.6917585317114994, 1.6920714740763412, 0.0006258847296836123
95.5, 2.9642684236700045, 2.9652823549259124, 2.9647753892979587, 0.001013931255907874
94.25, 2.7615646413784716, 2.760947639936027, 2.7612561406572493, 0.0006170014424444759
60.5, 0.02116425256667333, 0.0211267956442196, 0.021145524105446466, 0.00003745692245372967
116.5, 4.152493587961323, 4.153078066258596, 4.152785827109959, 0.0005844782972728169
92.5, 2.4733349809297738, 2.4727608094878692, 2.4730478952088215, 0.0005741714419045252
111, 4.531475109044966, 4.531762081162212, 4.531618595103589, 0.0002869721172453765
62.5, 0.03532093596993513, 0.03528212888363885, 0.03530153242678699, 0.00003880708629627749
121, 3.3020171699957, 3.3033529911788237, 3.3026850805872616, 0.0013358211831238087
85.75, 1.4462564071688364, 1.446517948377973, 1.4463871777734048, 0.0002615412091366842
124.25, 2.361013958549778, 2.361207001454827, 2.361110480002303, 0.00019304290504917887
86.75, 1.583661210563713, 1.5841482863286307, 1.5839047484461717, 0.00048707576491779925
111.75, 4.519017871364927, 4.519374429928978, 4.519196150646952, 0.0003565585640510349
111.5, 4.524054621503447, 4.524608624481725, 4.524331622992586, 0.0005540029782773459
86.25, 1.5148892176879023, 1.5142144416015884, 1.5145518296447453, 0.000674776086313944
82.5, 1.041268149734836, 1.0419316212085292, 1.0415998854716826, 0.0006634714736932779
61, 0.02407622287676373, 0.024157824112859775, 0.024117023494811752, 0.00008160123609604608
